C,alpha/C,digit/C,whitespace/C,spe_ch/C,W,short words/W,avg_W_len,unique_W/W,class
188,0.739361702,0.010638298,0.212765957,0.037234043,41,0.707317073,3.609756098,0.853658537,ham
29,0.793103448,0,0.172413793,0.034482759,6,0.666666667,4,1,ham
84,0.797619048,0,0.19047619,0.011904762,17,0.823529412,4,0.941176471,ham
159,0.79245283,0.006289308,0.176100629,0.025157233,29,0.724137931,4.517241379,0.827586207,spam
123,0.699186992,0.016260163,0.219512195,0.06504065,28,0.642857143,3.428571429,0.928571429,ham
46,0.782608696,0,0.173913043,0.043478261,9,0.888888889,4.222222222,1,ham
28,0.75,0,0.25,0,8,0.5,2.625,1,ham
27,0.666666667,0,0.111111111,0.222222222,4,0.75,6,1,ham
155,0.767741935,0,0.187096774,0.04516129,30,0.766666667,4.2,0.933333333,ham
82,0.768292683,0,0.195121951,0.036585366,17,0.647058824,3.882352941,1,ham
139,0.676258993,0,0.237410072,0.09352518,34,0.705882353,3.147058824,0.647058824,ham
172,0.656976744,0.127906977,0.186046512,0.029069767,33,0.727272727,4.242424242,0.848484848,spam
19,0.789473684,0,0.157894737,0.052631579,4,1,4,1,ham
70,0.685714286,0,0.2,0.142857143,15,0.666666667,3.866666667,0.8,ham
32,0.8125,0,0.0625,0.125,3,0.666666667,10,1,ham
45,0.8,0,0.155555556,0.044444444,8,0.75,4.75,1,ham
30,0.833333333,0,0.133333333,0.033333333,5,1,5.2,1,ham
66,0.787878788,0,0.196969697,0.015151515,14,0.642857143,3.785714286,1,ham
148,0.756756757,0,0.195945946,0.047297297,30,0.733333333,3.966666667,0.866666667,ham
58,0.775862069,0,0.189655172,0.034482759,12,0.833333333,3.916666667,0.916666667,ham
120,0.741666667,0,0.2,0.083333333,25,0.72,3.96,0.72,ham
80,0.8,0,0.1875,0.0125,16,0.75,4.0625,1,ham
290,0.762068966,0,0.186206897,0.051724138,55,0.781818182,4.290909091,0.709090909,ham
120,0.783333333,0,0.175,0.041666667,22,0.909090909,4.5,0.954545455,spam
75,0.76,0,0.173333333,0.08,14,0.785714286,4.5,0.928571429,ham
157,0.624203822,0.152866242,0.165605096,0.057324841,27,0.777777778,4.851851852,1,spam
33,0.787878788,0,0.151515152,0.060606061,6,0.833333333,4.666666667,1,ham
22,0.863636364,0,0.136363636,0,4,1,4.75,1,ham
40,0.775,0,0.15,0.075,7,0.857142857,4.857142857,1,ham
108,0.740740741,0.009259259,0.203703704,0.046296296,23,0.695652174,3.739130435,0.956521739,ham
48,0.791666667,0,0.166666667,0.041666667,9,0.666666667,4.444444444,0.777777778,ham
25,0.8,0,0.2,0,6,0.5,3.333333333,1,ham
55,0.781818182,0,0.2,0.018181818,12,0.5,3.666666667,1,ham
110,0.772727273,0,0.209090909,0.018181818,24,0.708333333,3.625,0.833333333,ham
151,0.701986755,0.099337748,0.178807947,0.01986755,28,0.75,4.428571429,0.928571429,spam
124,0.741935484,0,0.177419355,0.080645161,23,0.826086957,4.434782609,1,ham
159,0.660377358,0.132075472,0.132075472,0.075471698,22,0.727272727,6.272727273,0.909090909,spam
80,0.7375,0,0.175,0.0875,15,0.866666667,4.4,1,spam
34,0.764705882,0,0.205882353,0.029411765,8,0.625,3.375,1,ham
46,0.652173913,0,0.152173913,0.195652174,8,1,4.875,1,ham
29,0.827586207,0,0.137931034,0.034482759,5,1,5,1,ham
45,0.777777778,0,0.2,0.022222222,10,0.5,3.6,1,ham
42,0.738095238,0,0.119047619,0.142857143,6,1,6.166666667,1,ham
20,0.65,0,0.2,0.15,5,0.6,3.2,1,ham
43,0.76744186,0,0.186046512,0.046511628,9,0.666666667,3.888888889,1,ham
73,0.794520548,0,0.178082192,0.02739726,14,0.785714286,4.285714286,0.928571429,ham
50,0.74,0,0.2,0.06,11,0.818181818,3.636363636,0.909090909,ham
40,0.725,0,0.2,0.125,9,0.666666667,3.777777778,0.777777778,ham
76,0.75,0,0.197368421,0.052631579,16,0.875,3.8125,1,ham
21,0.80952381,0,0.142857143,0.047619048,4,1,4.5,1,ham
31,0.709677419,0,0.225806452,0.064516129,8,0.75,3,1,ham
32,0.71875,0,0.28125,0,10,0.3,2.3,0.9,ham
36,0.777777778,0,0.222222222,0,9,0.666666667,3.111111111,1,ham
14,0.785714286,0,0.142857143,0.071428571,3,1,4,1,ham
53,0.754716981,0,0.188679245,0.056603774,11,0.818181818,3.909090909,1,ham
121,0.752066116,0.008264463,0.20661157,0.033057851,26,0.769230769,3.692307692,0.884615385,ham
144,0.763888889,0,0.208333333,0.027777778,31,0.677419355,3.677419355,0.870967742,ham
42,0.785714286,0,0.19047619,0.023809524,9,0.666666667,3.777777778,1,ham
39,0.769230769,0,0.153846154,0.076923077,7,0.857142857,4.714285714,1,ham
62,0.709677419,0,0.14516129,0.14516129,10,0.9,5.3,1,ham
194,0.768041237,0.010309278,0.195876289,0.025773196,39,0.641025641,4,0.897435897,ham
141,0.80141844,0.007092199,0.177304965,0.014184397,26,0.807692308,4.461538462,0.730769231,ham
139,0.64028777,0.158273381,0.158273381,0.043165468,23,0.826086957,5.086956522,1,spam
107,0.76635514,0.028037383,0.177570093,0.028037383,20,0.75,4.4,1,ham
158,0.658227848,0.113924051,0.17721519,0.050632911,29,0.75862069,4.482758621,0.931034483,spam
33,0.787878788,0,0.121212121,0.090909091,5,0.8,5.8,1,ham
51,0.764705882,0,0.215686275,0.019607843,12,0.583333333,3.333333333,0.916666667,ham
179,0.748603352,0,0.206703911,0.044692737,38,0.657894737,3.736842105,0.894736842,ham
31,0.806451613,0,0.193548387,0,7,0.571428571,3.571428571,1,ham
57,0.771929825,0,0.175438596,0.052631579,11,0.727272727,4.272727273,1,ham
81,0.728395062,0,0.24691358,0.024691358,21,0.619047619,2.904761905,0.952380952,ham
76,0.75,0.013157895,0.197368421,0.039473684,16,0.875,3.8125,1,ham
160,0.8,0.00625,0.15625,0.0375,26,0.846153846,5.192307692,0.846153846,ham
182,0.769230769,0,0.192307692,0.038461538,36,0.666666667,4.083333333,0.861111111,ham
44,0.795454545,0,0.204545455,0,10,0.9,3.5,0.9,ham
95,0.810526316,0,0.168421053,0.021052632,17,0.764705882,4.647058824,0.823529412,ham
42,0.761904762,0,0.214285714,0.023809524,10,0.8,3.3,1,ham
82,0.829268293,0,0.158536585,0.012195122,14,0.714285714,4.928571429,0.928571429,ham
115,0.747826087,0,0.2,0.052173913,24,0.75,3.833333333,0.958333333,ham
30,0.733333333,0,0.166666667,0.1,6,0.833333333,4.166666667,1,ham
40,0.8,0,0.175,0.025,8,0.75,4.125,0.875,ham
31,0.806451613,0,0.129032258,0.064516129,5,1,5.4,1,ham
96,0.708333333,0.010416667,0.239583333,0.041666667,24,0.708333333,3.041666667,0.833333333,ham
159,0.647798742,0.13836478,0.163522013,0.050314465,27,0.888888889,4.925925926,1,spam
140,0.75,0,0.164285714,0.085714286,24,0.75,4.875,0.916666667,ham
155,0.716129032,0.006451613,0.2,0.077419355,32,0.625,3.875,0.875,ham
152,0.625,0.144736842,0.171052632,0.059210526,27,0.666666667,4.666666667,0.888888889,spam
71,0.788732394,0,0.154929577,0.056338028,12,0.833333333,5,1,ham
86,0.76744186,0,0.162790698,0.069767442,15,0.866666667,4.8,1,ham
144,0.611111111,0.236111111,0.131944444,0.020833333,20,0.95,6.25,1,spam
156,0.628205128,0.166666667,0.16025641,0.044871795,26,0.846153846,5.038461538,1,spam
53,0.811320755,0,0.132075472,0.056603774,8,0.75,5.75,1,ham
156,0.679487179,0.141025641,0.166666667,0.012820513,27,0.851851852,4.814814815,0.962962963,spam
51,0.705882353,0.039215686,0.235294118,0.019607843,13,0.461538462,3,1,ham
40,0.7,0,0.15,0.15,7,0.857142857,4.857142857,1,ham
19,0.789473684,0,0.157894737,0.052631579,4,1,4,1,ham
241,0.788381743,0,0.186721992,0.024896266,46,0.739130435,4.260869565,0.739130435,ham
22,0.772727273,0,0.181818182,0.045454545,5,0.8,3.6,1,ham
107,0.719626168,0,0.242990654,0.037383178,27,0.592592593,3,0.851851852,ham
28,0.678571429,0,0.142857143,0.178571429,5,0.8,4.8,1,ham
9,0.666666667,0,0.111111111,0.222222222,2,1,4,1,ham
38,0.842105263,0,0.105263158,0.052631579,5,1,6.8,1,ham
25,0.84,0,0.12,0.04,4,0.75,5.5,1,ham
126,0.69047619,0.063492063,0.19047619,0.055555556,25,0.76,4.08,1,spam
162,0.703703704,0.080246914,0.166666667,0.049382716,28,0.821428571,4.821428571,0.892857143,spam
38,0.763157895,0,0.131578947,0.105263158,6,0.833333333,5.5,1,ham
34,0.764705882,0,0.205882353,0.029411765,8,0.75,3.375,1,ham
46,0.804347826,0,0.173913043,0.02173913,9,0.777777778,4.222222222,1,ham
155,0.741935484,0.032258065,0.2,0.025806452,32,0.8125,3.875,0.96875,spam
86,0.61627907,0,0.220930233,0.162790698,20,0.6,3.35,0.9,ham
32,0.75,0,0.21875,0.03125,8,0.625,3.125,1,ham
26,0.807692308,0,0.153846154,0.038461538,5,1,4.4,1,ham
158,0.759493671,0.012658228,0.158227848,0.069620253,26,0.807692308,5.115384615,0.923076923,ham
42,0.738095238,0,0.214285714,0.047619048,10,0.9,3.3,0.9,ham
25,0.76,0,0.24,0,7,0.714285714,2.714285714,1,ham
48,0.791666667,0,0.1875,0.020833333,10,0.9,3.9,1,ham
157,0.700636943,0.089171975,0.178343949,0.031847134,29,0.827586207,4.448275862,0.931034483,spam
84,0.797619048,0,0.166666667,0.035714286,15,0.933333333,4.666666667,1,ham
33,0.757575758,0,0.151515152,0.090909091,6,0.833333333,4.666666667,1,ham
30,0.733333333,0,0.2,0.066666667,7,0.714285714,3.428571429,1,ham
45,0.755555556,0,0.177777778,0.066666667,9,0.777777778,4.111111111,1,ham
59,0.711864407,0.033898305,0.237288136,0.016949153,15,0.6,3,0.933333333,ham
25,0.64,0,0.12,0.24,4,0.75,5.5,1,ham
160,0.8,0.00625,0.15625,0.0375,26,0.846153846,5.192307692,0.846153846,ham
374,0.772727273,0,0.211229947,0.016042781,80,0.775,3.6875,0.7,ham
28,0.821428571,0,0.142857143,0.035714286,5,0.8,4.8,1,ham
27,0.703703704,0,0.148148148,0.148148148,5,0.8,4.6,1,ham
156,0.75,0,0.205128205,0.044871795,33,0.787878788,3.757575758,0.757575758,ham
124,0.75,0.088709677,0.14516129,0.016129032,19,0.894736842,5.578947368,0.947368421,spam
146,0.650684932,0.136986301,0.178082192,0.034246575,27,0.666666667,4.444444444,0.888888889,spam
115,0.791304348,0,0.2,0.008695652,24,0.791666667,3.833333333,0.791666667,ham
64,0.734375,0,0.1875,0.078125,13,0.846153846,4,0.923076923,ham
85,0.729411765,0,0.211764706,0.058823529,19,0.736842105,3.526315789,0.789473684,ham
152,0.677631579,0.085526316,0.151315789,0.085526316,24,0.791666667,5.375,0.916666667,spam
154,0.772727273,0.006493506,0.188311688,0.032467532,30,0.566666667,4.166666667,0.866666667,spam
51,0.803921569,0,0.176470588,0.019607843,10,0.6,4.2,1,ham
157,0.675159236,0.114649682,0.165605096,0.044585987,27,0.888888889,4.851851852,1,spam
73,0.808219178,0,0.164383562,0.02739726,13,0.769230769,4.692307692,1,ham
66,0.787878788,0,0.181818182,0.03030303,13,0.923076923,4.153846154,1,ham
59,0.762711864,0,0.152542373,0.084745763,10,0.8,5,1,ham
49,0.795918367,0,0.183673469,0.020408163,10,0.8,4,0.9,ham
92,0.663043478,0.010869565,0.206521739,0.119565217,20,0.7,3.65,0.95,ham
32,0.8125,0,0.15625,0.03125,6,1,4.5,1,ham
102,0.764705882,0,0.196078431,0.039215686,21,0.761904762,3.904761905,1,ham
60,0.733333333,0,0.166666667,0.1,11,0.818181818,4.545454545,1,ham
65,0.784615385,0,0.2,0.015384615,14,0.857142857,3.714285714,0.928571429,ham
26,0.769230769,0,0.192307692,0.038461538,6,0.666666667,3.5,1,ham
143,0.713286713,0,0.20979021,0.090909091,31,0.709677419,3.709677419,0.870967742,ham
66,0.757575758,0,0.227272727,0.015151515,16,0.6875,3.1875,1,ham
126,0.76984127,0,0.19047619,0.03968254,25,0.8,4.08,0.88,ham
159,0.786163522,0.006289308,0.188679245,0.018867925,31,0.709677419,4.161290323,0.870967742,ham
23,0.695652174,0,0.217391304,0.086956522,6,0.833333333,3,1,ham
65,0.784615385,0,0.184615385,0.030769231,13,0.769230769,4.076923077,0.923076923,ham
23,0.782608696,0,0.173913043,0.043478261,5,0.8,3.8,1,ham
26,0.846153846,0,0.115384615,0.038461538,4,0.75,5.75,1,ham
152,0.75,0,0.203947368,0.046052632,32,0.71875,3.78125,0.84375,ham
33,0.818181818,0,0.181818182,0,7,0.571428571,3.857142857,1,ham
149,0.657718121,0.147651007,0.154362416,0.040268456,24,0.833333333,5.25,1,spam
55,0.763636364,0,0.218181818,0.018181818,13,0.769230769,3.307692308,1,ham
88,0.738636364,0,0.204545455,0.056818182,19,0.736842105,3.684210526,0.947368421,ham
72,0.777777778,0.027777778,0.125,0.069444444,10,1,6.3,1,spam
185,0.756756757,0,0.2,0.043243243,38,0.763157895,3.894736842,0.815789474,ham
37,0.756756757,0,0.135135135,0.108108108,6,0.666666667,5.333333333,1,ham
111,0.792792793,0,0.189189189,0.018018018,22,0.772727273,4.090909091,0.954545455,ham
92,0.760869565,0.010869565,0.195652174,0.032608696,19,0.894736842,3.894736842,0.947368421,ham
28,0.785714286,0,0.214285714,0,7,0.857142857,3.142857143,1,ham
28,0.821428571,0,0.178571429,0,6,0.833333333,3.833333333,1,ham
63,0.746031746,0.015873016,0.206349206,0.031746032,14,0.714285714,3.571428571,1,ham
131,0.740458015,0,0.221374046,0.038167939,30,0.666666667,3.4,0.933333333,ham
36,0.666666667,0,0.222222222,0.166666667,9,0.666666667,3.333333333,0.777777778,ham
26,0.653846154,0,0.230769231,0.192307692,7,0.571428571,3.142857143,0.714285714,ham
84,0.797619048,0,0.202380952,0,18,0.722222222,3.722222222,0.944444444,ham
172,0.761627907,0,0.156976744,0.093023256,28,0.607142857,5.25,0.678571429,ham
24,0.875,0,0.083333333,0.041666667,3,1,7.333333333,1,ham
25,0.64,0.08,0.24,0.04,7,0.428571429,2.714285714,1,ham
64,0.734375,0,0.1875,0.078125,13,0.846153846,4,1,ham
155,0.716129032,0.006451613,0.2,0.077419355,32,0.625,3.875,0.875,ham
27,0.851851852,0,0.148148148,0,5,0.8,4.6,1,ham
84,0.80952381,0,0.166666667,0.047619048,15,0.733333333,4.8,0.866666667,ham
39,0.717948718,0,0.205128205,0.076923077,9,0.666666667,3.444444444,1,ham
72,0.777777778,0,0.180555556,0.041666667,14,0.714285714,4.214285714,0.928571429,ham
26,0.807692308,0,0.192307692,0,6,0.666666667,3.5,1,ham
23,0.652173913,0,0.043478261,0.304347826,2,1,11,1,ham
24,0.5,0,0.166666667,0.333333333,5,0.8,4,1,ham
31,0.774193548,0,0.161290323,0.064516129,6,1,4.333333333,1,ham
58,0.844827586,0,0.137931034,0.017241379,9,0.888888889,5.555555556,1,ham
48,0.770833333,0,0.166666667,0.0625,9,0.888888889,4.444444444,1,ham
41,0.780487805,0,0.146341463,0.073170732,7,1,5,1,ham
32,0.75,0.03125,0.21875,0,8,0.625,3.125,1,ham
159,0.754716981,0,0.213836478,0.031446541,35,0.771428571,3.571428571,0.8,ham
25,0.72,0,0.2,0.08,6,0.5,3.333333333,1,ham
161,0.788819876,0,0.180124224,0.031055901,30,0.733333333,4.4,0.9,ham
21,0.80952381,0,0.142857143,0.047619048,4,1,4.5,1,ham
119,0.739495798,0,0.210084034,0.050420168,26,0.730769231,3.615384615,0.923076923,ham
142,0.556338028,0.218309859,0.14084507,0.084507042,21,0.904761905,5.80952381,1,spam
69,0.797101449,0,0.173913043,0.028985507,13,0.846153846,4.384615385,1,ham
135,0.740740741,0.014814815,0.214814815,0.02962963,30,0.633333333,3.533333333,0.866666667,spam
30,0.833333333,0,0.133333333,0.033333333,5,0.8,5.2,1,ham
164,0.774390244,0,0.158536585,0.067073171,27,0.888888889,5.111111111,0.740740741,ham
34,0.794117647,0,0.205882353,0,8,0.625,3.375,1,ham
109,0.76146789,0,0.174311927,0.064220183,20,0.85,4.5,0.95,ham
37,0.810810811,0,0.189189189,0,8,0.75,3.75,1,ham
32,0.8125,0,0.15625,0.03125,6,1,4.5,1,ham
48,0.770833333,0,0.145833333,0.083333333,8,0.625,5.125,1,ham
157,0.694267516,0.044585987,0.210191083,0.050955414,34,0.676470588,3.647058824,0.970588235,spam
48,0.708333333,0,0.208333333,0.125,11,0.545454545,3.636363636,0.818181818,ham
65,0.784615385,0,0.215384615,0,15,0.666666667,3.4,0.933333333,ham
38,0.789473684,0,0.157894737,0.052631579,7,1,4.571428571,1,ham
143,0.734265734,0,0.181818182,0.083916084,27,0.777777778,4.333333333,0.925925926,ham
145,0.648275862,0.165517241,0.165517241,0.020689655,25,0.72,4.84,0.92,spam
51,0.803921569,0,0.176470588,0.019607843,10,0.6,4.2,1,ham
45,0.866666667,0,0.133333333,0,7,0.714285714,5.571428571,1,ham
81,0.777777778,0,0.185185185,0.037037037,16,0.75,4.125,0.875,ham
154,0.74025974,0.006493506,0.201298701,0.051948052,32,0.75,3.84375,0.875,ham
37,0.810810811,0,0.135135135,0.054054054,6,0.833333333,5.333333333,1,ham
78,0.756410256,0,0.205128205,0.038461538,17,0.705882353,3.647058824,0.647058824,ham
30,0.766666667,0,0.233333333,0,8,0.625,2.875,1,ham
31,0.774193548,0.032258065,0.161290323,0.032258065,6,0.833333333,4.333333333,1,ham
146,0.767123288,0,0.198630137,0.034246575,30,0.833333333,3.9,0.9,ham
150,0.686666667,0.146666667,0.146666667,0.02,23,0.695652174,5.565217391,1,spam
44,0.818181818,0.022727273,0.159090909,0,8,1,4.625,1,ham
177,0.762711864,0,0.186440678,0.050847458,34,0.764705882,4.235294118,0.941176471,ham
27,0.777777778,0,0.148148148,0.074074074,5,1,4.6,1,ham
178,0.775280899,0.011235955,0.202247191,0.011235955,37,0.810810811,3.837837838,0.837837838,ham
37,0.783783784,0,0.162162162,0.054054054,7,1,4.428571429,1,ham
97,0.804123711,0,0.175257732,0.020618557,18,0.833333333,4.444444444,1,ham
43,0.720930233,0,0.209302326,0.069767442,10,0.8,3.4,1,ham
36,0.666666667,0,0.222222222,0.111111111,9,0.777777778,3.111111111,0.888888889,ham
154,0.714285714,0.090909091,0.168831169,0.025974026,27,0.740740741,4.740740741,0.925925926,spam
74,0.702702703,0,0.189189189,0.108108108,15,0.733333333,4,0.933333333,ham
3,1,0,0,0,1,1,3,1,ham
85,0.752941176,0,0.2,0.047058824,18,0.777777778,3.777777778,0.944444444,ham
51,0.549019608,0.196078431,0.196078431,0.058823529,11,0.454545455,3.727272727,1,ham
121,0.694214876,0.107438017,0.198347107,0,25,0.68,3.88,0.8,spam
26,0.769230769,0,0.192307692,0.038461538,6,1,3.5,1,ham
35,0.8,0,0.171428571,0.028571429,7,0.857142857,4.142857143,1,ham
46,0.782608696,0,0.217391304,0,11,0.727272727,3.272727273,1,ham
159,0.672955975,0.119496855,0.163522013,0.044025157,27,0.740740741,4.925925926,0.925925926,spam
47,0.765957447,0,0.170212766,0.063829787,9,0.777777778,4.333333333,1,ham
133,0.804511278,0,0.172932331,0.022556391,24,0.833333333,4.583333333,1,spam
52,0.826923077,0,0.153846154,0.019230769,9,0.777777778,4.888888889,1,ham
146,0.794520548,0,0.191780822,0.01369863,29,0.896551724,4.068965517,0.896551724,ham
155,0.722580645,0.077419355,0.15483871,0.04516129,25,0.8,5.24,0.88,spam
36,0.75,0.027777778,0.222222222,0,9,0.666666667,3.111111111,1,ham
31,0.774193548,0,0.161290323,0.064516129,6,0.5,4.333333333,1,ham
8,0.625,0,0,0.375,1,1,8,1,ham
38,0.789473684,0,0.210526316,0,9,0.666666667,3.333333333,1,ham
29,0.75862069,0,0.206896552,0.034482759,7,0.714285714,3.285714286,1,ham
47,0.744680851,0,0.212765957,0.042553191,11,0.727272727,3.363636364,1,ham
56,0.785714286,0,0.160714286,0.053571429,10,0.9,4.7,0.9,ham
22,0.772727273,0,0.181818182,0.045454545,5,0.8,3.6,1,ham
142,0.73943662,0,0.169014085,0.091549296,25,0.76,4.72,0.8,ham
29,0.75862069,0,0.206896552,0.034482759,7,0.857142857,3.285714286,1,ham
7,0.571428571,0,0,0.428571429,1,1,7,1,ham
120,0.783333333,0,0.2,0.016666667,25,0.8,3.84,1,ham
57,0.789473684,0,0.210526316,0,13,0.615384615,3.461538462,1,ham
4,0.5,0,0,0.5,1,1,4,1,ham
148,0.756756757,0.006756757,0.22972973,0.006756757,35,0.571428571,3.257142857,0.942857143,ham
156,0.730769231,0,0.205128205,0.064102564,33,0.666666667,3.757575758,0.666666667,ham
150,0.833333333,0,0.133333333,0.033333333,21,0.857142857,6.19047619,0.952380952,ham
37,0.783783784,0,0.189189189,0.027027027,8,0.875,3.75,1,ham
55,0.745454545,0,0.218181818,0.036363636,13,0.615384615,3.307692308,1,ham
21,0.666666667,0.047619048,0.19047619,0.095238095,5,0.8,3.4,1,ham
22,0.818181818,0,0.181818182,0,5,1,3.6,1,ham
50,0.84,0,0.12,0.04,7,0.857142857,6.285714286,1,ham
159,0.691823899,0.081761006,0.176100629,0.050314465,29,0.827586207,4.517241379,0.931034483,spam
67,0.820895522,0,0.164179104,0.014925373,12,0.75,4.666666667,1,ham
153,0.705882353,0,0.222222222,0.071895425,35,0.742857143,3.4,0.914285714,ham
51,0.784313725,0,0.196078431,0.019607843,11,0.818181818,3.727272727,1,ham
67,0.791044776,0,0.164179104,0.044776119,12,0.833333333,4.666666667,1,ham
87,0.804597701,0,0.183908046,0.011494253,17,0.823529412,4.176470588,0.882352941,ham
155,0.787096774,0,0.193548387,0.019354839,31,0.741935484,4.032258065,0.870967742,ham
90,0.755555556,0,0.222222222,0.022222222,21,0.666666667,3.333333333,1,ham
24,0.833333333,0,0.166666667,0,5,0.4,4,1,ham
145,0.696551724,0.055172414,0.151724138,0.096551724,23,0.869565217,5.347826087,0.913043478,spam
56,0.660714286,0,0.178571429,0.160714286,11,0.727272727,4.181818182,0.909090909,ham
26,0.730769231,0,0.230769231,0.038461538,7,0.714285714,2.857142857,1,ham
71,0.774647887,0,0.183098592,0.042253521,14,0.714285714,4.142857143,1,ham
133,0.781954887,0.037593985,0.172932331,0.007518797,24,0.916666667,4.583333333,0.958333333,spam
55,0.8,0,0.163636364,0.036363636,10,0.9,4.6,0.9,ham
156,0.814102564,0.019230769,0.147435897,0.019230769,24,0.875,5.541666667,0.958333333,ham
132,0.606060606,0.136363636,0.181818182,0.075757576,25,0.76,4.32,1,spam
119,0.781512605,0,0.193277311,0.025210084,24,0.833333333,4,0.916666667,ham
141,0.723404255,0.014184397,0.226950355,0.035460993,33,0.666666667,3.303030303,0.727272727,ham
41,0.731707317,0,0.219512195,0.048780488,10,0.7,3.2,1,ham
26,0.769230769,0,0.076923077,0.153846154,3,1,8,1,ham
117,0.692307692,0.008547009,0.196581197,0.102564103,24,0.708333333,3.916666667,0.875,ham
45,0.755555556,0,0.177777778,0.066666667,9,0.777777778,4.111111111,1,ham
157,0.72611465,0.082802548,0.165605096,0.025477707,27,0.851851852,4.851851852,0.814814815,spam
22,0.727272727,0,0.136363636,0.136363636,4,0.75,4.75,1,ham
50,0.78,0,0.18,0.04,10,0.7,4.1,1,ham
61,0.704918033,0,0.196721311,0.098360656,13,0.769230769,3.769230769,1,ham
107,0.691588785,0.037383178,0.252336449,0.018691589,28,0.607142857,2.857142857,0.928571429,ham
157,0.770700637,0,0.191082803,0.038216561,31,0.741935484,4.096774194,0.967741935,ham
30,0.766666667,0,0.166666667,0.066666667,6,0.833333333,4.166666667,1,ham
32,0.8125,0,0.0625,0.125,3,0.666666667,10,1,ham
31,0.741935484,0,0.161290323,0.096774194,6,0.666666667,4.333333333,1,ham
77,0.779220779,0,0.194805195,0.025974026,16,0.8125,3.875,1,ham
31,0.806451613,0,0.161290323,0.032258065,6,0.833333333,4.333333333,1,ham
86,0.744186047,0,0.220930233,0.034883721,20,0.65,3.35,1,ham
22,0.681818182,0,0.090909091,0.227272727,3,1,6.666666667,1,ham
76,0.776315789,0,0.171052632,0.052631579,14,0.785714286,4.5,1,ham
128,0.6953125,0.09375,0.1796875,0.03125,24,0.833333333,4.375,0.958333333,spam
232,0.801724138,0,0.181034483,0.017241379,43,0.720930233,4.418604651,0.837209302,ham
159,0.635220126,0.144654088,0.163522013,0.056603774,27,0.777777778,4.925925926,1,spam
44,0.727272727,0,0.204545455,0.068181818,10,0.6,3.5,1,ham
57,0.789473684,0,0.175438596,0.035087719,11,0.909090909,4.272727273,1,ham
26,0.846153846,0,0.076923077,0.076923077,3,1,8,1,ham
21,0.80952381,0,0.142857143,0.047619048,4,1,4.5,1,ham
41,0.731707317,0,0.170731707,0.097560976,8,0.625,4.25,1,ham
28,0.75,0,0.178571429,0.071428571,6,0.666666667,3.833333333,1,ham
151,0.748344371,0.026490066,0.198675497,0.026490066,31,0.774193548,3.903225806,0.935483871,ham
